"id","entidad_federativa","municipio"
"15230","09","289"
"15240","09","289"
"15250","09","289"
"15260","09","289"
"15270","09","289"
"15280","09","289"
"15290","09","289"
"15299","09","289"
"15300","09","289"
"15309","09","289"
"15310","09","289"
"15320","09","289"
"15330","09","289"
"15339","09","289"
"15340","09","289"
"15350","09","289"
"15370","09","289"
"15380","09","289"
"15390","09","289"
"15400","09","289"
"15410","09","289"
"15420","09","289"
"15430","09","289"
"15440","09","289"
"15450","09","289"
"15460","09","289"
"15470","09","289"
"15500","09","289"
"15510","09","289"
"15520","09","289"
"15530","09","289"
"15540","09","289"
"15600","09","289"
"15610","09","289"
"15620","09","289"
"15630","09","289"
"15640","09","289"
"15650","09","289"
"15660","09","289"
"15669","09","289"
"15670","09","289"
"15680","09","289"
"15700","09","289"
"15710","09","289"
"15720","09","289"
"15730","09","289"
"15740","09","289"
"15750","09","289"
"15800","09","289"
"15810","09","289"
"15820","09","289"
"15829","09","289"
"15830","09","289"
"15840","09","289"
"15850","09","289"
"15860","09","289"
"15870","09","289"
"15900","09","289"
"15909","09","289"
"15940","09","289"
"15950","09","289"
"15960","09","289"
"15968","09","289"
"15970","09","289"
"15980","09","289"
"15990","09","289"
"16000","09","285"
"16010","09","285"
"16019","09","285"
"16020","09","285"
"16029","09","285"
"16030","09","285"
"16034","09","285"
"16035","09","285"
"16036","09","285"
"16038","09","285"
"16039","09","285"
"16040","09","285"
"16050","09","285"
"16057","09","285"
"16058","09","285"
"16059","09","285"
"16060","09","285"
"16070","09","285"
"16080","09","285"
"16090","09","285"
"16095","09","285"
"16098","09","285"
"16099","09","285"
"16100","09","285"
"16105","09","285"
"16200","09","285"
"16210","09","285"
"16220","09","285"
"16240","09","285"
"16244","09","285"
"16247","09","285"
"16248","09","285"
"16300","09","285"
"16310","09","285"
"16320","09","285"
"16330","09","285"
"16340","09","285"
"16400","09","285"
"16410","09","285"
"16420","09","285"
"16428","09","285"
"16429","09","285"
"16430","09","285"
"16440","09","285"
"16443","09","285"
"16450","09","285"
"16457","09","285"
"16459","09","285"
"16510","09","285"
"16513","09","285"
"16514","09","285"
"16515","09","285"
"16520","09","285"
"16530","09","285"
"16533","09","285"
"16550","09","285"
"16600","09","285"
"16604","09","285"
"16605","09","285"
"16606","09","285"
"16607","09","285"
"16609","09","285"
"16610","09","285"
"16614","09","285"
"16615","09","285"
"16616","09","285"
"16617","09","285"
"16620","09","285"
"16629","09","285"
"16630","09","285"
"16640","09","285"
"16710","09","285"
"16720","09","285"
"16739","09","285"
"16740","09","285"
"16749","09","285"
"16750","09","285"
"16770","09","285"
"16776","09","285"
"16780","09","285"
"16797","09","285"
"16799","09","285"
"16800","09","285"
"16808","09","285"
"16809","09","285"
"16810","09","285"
"16813","09","285"
"16819","09","285"
"16840","09","285"
"16850","09","285"
"16860","09","285"
"16866","09","285"
"16869","09","285"
"16870","09","285"
"16880","09","285"
"16888","09","285"
"16889","09","285"
"16900","09","285"
"16908","09","285"
"16909","09","285"
"16910","09","285"
"20000","01","1"
"20008","01","1"
"20009","01","1"
"20010","01","1"
"20016","01","1"
"20018","01","1"
"20020","01","1"
"20029","01","1"
"20030","01","1"
"20040","01","1"
"20049","01","1"
"20050","01","1"
"20059","01","1"
"20060","01","1"
"20064","01","1"
"20070","01","1"
"20078","01","1"
"20080","01","1"
"20089","01","1"
"20100","01","1"
"20110","01","1"
"20115","01","1"
"20116","01","1"
"20117","01","1"
